accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, packetNum
-5633, 12544, 3585, 17920, -17154, 14846, -14575, -17647, -27119, -11556
-10241, 10240, -3840, 19200, -17154, 14846, -14319, -20463, -27119, -11300
-10241, 10240, -3840, 19200, -17666, 15358, -13551, -23023, -27119, -11044
-10241, 10240, -3840, 18944, -17666, 15358, -12783, -25327, -27375, -10788
-10241, 7680, -9216, 18944, -17154, 15102, 512, -27119, -27375, -10532
-10241, 7680, -9216, 19200, -17154, 15102, 1536, -28399, -27119, -10276
-1281, 9216, -5376, 18944, -16898, 14846, 3072, -27631, -26351, -9764
-1281, 9216, -5376, 18944, -17666, 15102, 3328, -26095, -25327, -9508
-1281, 9216, -5376, 18688, -17666, 15102, 3328, -23791, -24047, -9252
5888, 10240, 5377, 18688, -17154, 14846, 3072, -19951, -22767, -8996
5888, 10240, 5377, 18688, -17154, 14846, 2560, -16111, -21231, -8740
5888, 10240, 5377, 18688, -17410, 15358, 2048, 256, -19695, -8484
7936, 10496, 10241, 18432, -17410, 15358, 1280, 4352, -18415, -8228
7936, 10496, 10241, 18432, -17410, 15358, 512, 7936, -17135, -7972
2816, 14848, 13313, 18688, -16898, 15614, -13551, 13312, -15599, -7460
2816, 14848, 13313, 19712, -16898, 15614, -14319, 14848, -15343, -7204
2816, 14848, 13313, 19712, -17666, 16382, -14831, 15872, -15087, -6948
-4865, 22272, 8449, 20224, -17666, 16382, -15599, 16128, -15599, -6692
-4865, 22272, 8449, 21504, -16898, 15870, -16111, 15104, -16623, -6180
-13569, 24320, 5633, 21504, -17154, 16382, -16367, 14080, -17647, -5924
-13569, 24320, 5633, 22272, -17154, 16382, -16623, 13312, -18927, -5668
-19713, 23552, 1537, 23552, -17154, 16638, -17135, 12032, -21999, -5156
-19713, 23552, 1537, 23552, -16386, 16638, -17391, 11264, -23535, -4900
-19713, 23552, 1537, 24832, -16386, 16638, -17391, 10752, -25071, -4644
-23041, 22784, -2304, 24832, -16642, 17150, -17391, 10240, -26607, -4388
-23041, 22784, -2304, 25088, -16642, 17150, -17647, 9728, -27887, -4132
-23041, 22784, -2304, 25088, -16130, 16638, -17391, 9216, -28911, -3876
-21249, 24064, -2816, 26624, -15362, 16894, -17391, 7680, -30703, -3364
-21249, 24064, -2816, 27392, -15362, 16894, -17647, 7168, -30959, -3108
-17153, 26368, -2560, 27392, -15618, 16894, -17647, 6656, -31215, -2852
-17153, 26368, -2560, 28416, -15618, 16894, -17903, 6400, -31215, -2596
-17153, 26368, -2560, 28416, -14338, 16894, -18159, 6144, -30959, -2340
-12545, 27136, -2304, 29952, -14338, 16894, -18159, 6144, -30703, -2084
-12545, 27136, -2304, 29952, -14594, 17150, -18159, 6144, -30191, -1828
-12545, 27136, -2304, 30208, -14594, 17150, -18159, 6144, -29679, -1572
-9217, 27648, -5120, 30208, -13570, 16894, -18415, 4352, -28911, -1316
