accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, packetNum
27391, 3328, 8193, 13312, -1282, 8958, 3840, -25071, -14575, -18715
27391, 3328, 8193, 13312, -2050, 9470, 2816, -25071, -14831, -18459
29183, 4352, 8961, 12800, -2050, 9470, 2048, -24559, -14831, -18203
29183, 4352, 8961, 12800, -1282, 8958, 1536, -24303, -14575, -17947
29183, 4352, 8961, 12288, -1282, 8958, 768, -23535, -14831, -17691
30463, 4864, 9985, 12288, -2050, 9214, 256, -23023, -14575, -17435
30463, 4864, 9985, 11776, -1794, 8958, -13039, -21487, -14319, -16923
31999, 5120, 8449, 11008, -1794, 8958, -13295, -20463, -14063, -16667
31999, 5120, 8449, 11008, -1282, 9214, -13551, -19439, -14063, -16411
31999, 5120, 8449, 11008, -1282, 9214, -13807, -18415, -14063, -16155
32255, 3328, 9729, 11008, -2050, 8958, -13807, -17391, -14063, -15899
32255, 3328, 9729, 10496, -2050, 8958, -14063, -16111, -14063, -15643
32255, 3328, 9729, 10496, -1538, 8702, -14319, -15087, -13807, -15387
-32513, 2560, 8449, 10752, -1538, 8702, -14319, -14063, -13807, -15131
-32513, 2560, 8449, 10240, -2050, 8702, -14319, 1024, -13807, -14619
-31745, 2816, 7169, 10240, -1794, 8702, -14319, 1536, -13551, -14363
-31745, 2816, 7169, 10496, -1794, 8702, -14319, 2816, -13551, -14107
-31745, 2816, 7169, 10496, -1026, 8446, -14319, 3584, -13551, -13851
-31489, 3584, 6657, 10752, -1026, 8446, -14319, 4096, -13295, -13595
-31489, 3584, 6657, 10752, -1794, 8446, -14575, 5120, -13295, -13083
-30465, 3840, 6401, 10752, -1026, 8190, -14575, 5632, -13295, -12827
-30465, 3840, 6401, 11520, -1026, 8190, -14575, 5632, -13295, -12571
-30465, 3840, 6401, 11520, -1282, 8702, -14831, 5888, -13295, -12315
-30209, 4096, 5633, 11264, -1282, 8702, -15087, 5376, -13807, -12059
-30209, 4096, 5633, 11264, -1538, 8702, -15343, 5376, -13551, -11803
-30209, 4096, 5633, 11520, -1538, 8702, -15599, 5120, -13807, -11547
-29697, 3840, 5633, 11520, -770, 8190, -15855, 4608, -14063, -11291
-29697, 3840, 5633, 12544, -770, 8190, -16111, 4096, -14063, -11035
-29697, 3840, 5633, 12544, -1538, 8958, -16367, 3584, -14319, -10779
-28673, 4608, 5121, 12288, -1538, 8958, -16879, 3072, -14575, -10523
-28673, 4608, 5121, 12288, -258, 8702, -17135, 2560, -14831, -10267
-28673, 4608, 5121, 13312, -258, 8702, -17647, 2048, -14831, -10011
-26369, 5120, 5377, 13312, -770, 8446, -17647, 1792, -14831, -9755
-26369, 5120, 5377, 13056, -770, 8446, -17903, 1536, -15087, -9499
-24577, 5888, 4353, 13056, -514, 8446, -18159, 1280, -15343, -9243
-24577, 5888, 4353, 12800, -514, 8446, -18415, 1280, -15599, -8987
-24577, 5888, 4353, 12800, 511, 7934, -18671, 1280, -15855, -8731
-23041, 5632, 3585, 13824, 511, 7934, -18671, 1280, -16111, -8475
-23041, 5632, 3585, 13824, -258, 7934, -18927, 1536, -16367, -8219
-23041, 5632, 3585, 13568, -258, 7934, -18927, 1536, -16879, -7963
-21249, 4608, 2049, 13568, 1279, 7678, -18927, 1792, -17135, -7707
-21249, 4608, 2049, 14080, 1279, 7678, -19439, 1792, -17391, -7451
-21249, 4608, 2049, 14080, 1279, 7422, -19439, 1792, -17391, -7195
-19457, 5376, 2305, 14080, 1279, 7422, -19439, 2304, -17903, -6939
-19457, 5376, 2305, 14080, 1023, 7422, -19439, 2304, -17903, -6683
-19457, 5376, 2305, 14336, 1023, 7422, -19439, 2560, -18415, -6427
-17409, 5632, 769, 14336, 2303, 6910, -19439, 2816, -18671, -6171
-17409, 5632, 769, 14848, 2303, 6910, -19439, 2816, -18927, -5915
-17409, 5632, 769, 14848, 1791, 7166, -19183, 3072, -19183, -5659
-16385, 5120, 257, 14848, 1791, 7166, -19183, 3072, -19439, -5403
-16385, 5120, 257, 14848, 2815, 6654, -18927, 3328, -19695, -5147
-16385, 5120, 257, 15616, 2815, 6654, -18927, 3328, -19695, -4891
-13825, 4352, -512, 15616, 3327, 6910, -18415, 3328, -19951, -4635
-13825, 4352, -512, 15872, 3071, 6654, -18159, 3328, -19951, -4123
-11265, 3840, -2048, 16640, 3071, 6654, -17647, 3072, -19951, -3867
-11265, 3840, -2048, 16640, 4095, 6142, -17391, 3328, -19951, -3611
-11265, 3840, -2048, 16896, 4095, 6142, -17135, 3328, -19695, -3355
-9473, 2560, -1024, 16896, 3583, 6142, -17135, 3328, -19439, -3099
-9473, 2560, -1024, 16896, 3583, 6142, -16879, 3072, -19183, -2843
-9473, 2560, -1024, 16896, 4095, 5374, -16623, 3328, -18927, -2587
-7425, 2304, -1024, 18176, 4095, 5374, -16623, 3072, -18671, -2331
-7425, 2304, -1024, 18176, 4863, 5630, -16367, 2816, -18415, -2075
-7425, 2304, -1024, 17920, 4863, 5630, -16367, 2816, -17903, -1819
-6657, 3840, -256, 17920, 4607, 5886, -16111, 2816, -17647, -1563
-6657, 3840, -256, 18176, 4607, 5886, -16111, 2816, -17391, -1307
-6657, 3840, -256, 18176, 5631, 5118, -15855, 3072, -16879, -1051
-5633, 5632, 257, 18944, 5631, 5118, -15855, 3328, -16367, -795
-5633, 5632, 257, 18944, 5119, 5630, -15855, 3584, -16111, -539
-5121, 6912, 257, 19200, 5375, 4862, -16111, 4352, -15599, -27
-5121, 6912, 257, 19712, 5375, 4862, -16111, 4864, -15343, 230
-5121, 6912, 257, 19712, 5887, 5118, -16111, 5120, -15087, 486
-5889, 7680, 513, 19968, 5887, 5118, -16367, 5120, -14831, 742
-5889, 7680, 513, 19968, 5375, 5118, -16367, 5376, -14575, 998
-5889, 7680, 513, 20736, 5375, 5118, -16367, 5632, -14575, 1254
-6401, 7680, 769, 20736, 6399, 4606, -16367, 5632, -14319, 1510
-6401, 7680, 769, 20992, 6399, 4606, -16111, 5376, -14319, 1766
-6401, 7680, 769, 20992, 6143, 4862, -16111, 5632, -14575, 2022
-7425, 7168, -768, 21504, 6399, 4606, -15343, 5632, -14831, 2534
-7425, 7168, -768, 22272, 6399, 4606, -15087, 5632, -15087, 2790
-7425, 6912, -1024, 22272, 6911, 4350, -14831, 5888, -15599, 3046
-7425, 6912, -1024, 22528, 6911, 4350, -14575, 5632, -15855, 3302
-7425, 6912, -1024, 22528, 6399, 4606, -14063, 5376, -16111, 3558
-6657, 6400, -1024, 23040, 6399, 4606, -14063, 5376, -16623, 3814
-6657, 6400, -1024, 23040, 7679, 3838, -13807, 5120, -16879, 4070
-6657, 6400, -1024, 24064, 7679, 3838, -13807, 5120, -17135, 4326
-4865, 5632, -1536, 24064, 6911, 4350, -13807, 5376, -17647, 4582
-4865, 5632, -1536, 24320, 6911, 4094, -13551, 5120, -17391, 5094
-2305, 6656, -1280, 25088, 6911, 4094, -13551, 4864, -17647, 5350
-2305, 6656, -1280, 25088, 8191, 3838, -13551, 5120, -17391, 5606
-2305, 6656, -1280, 25600, 8191, 3838, -13807, 4864, -17135, 5862
-257, 8704, -2560, 25600, 7167, 4094, -13551, 4352, -16879, 6118
-257, 8704, -2560, 26112, 7167, 4094, -13807, 4096, -16623, 6374
-257, 8704, -2560, 26112, 8191, 3838, -13551, 3584, -16111, 6630
256, 10240, -3840, 27136, 8191, 3838, -13551, 3072, -15855, 6886
256, 10240, -3840, 27136, 7935, 3582, -13039, 2816, -15599, 7142
256, 10240, -3840, 27392, 7935, 3582, -13039, 2560, -15087, 7398
256, 13056, -8192, 27392, 8191, 3582, 0, 2560, -15087, 7654
256, 13056, -8192, 28160, 8191, 3582, 256, 2560, -14831, 7910
-513, 14848, -11520, 28672, 8703, 3326, 1280, 2560, -15343, 8422
-513, 14848, -11520, 28672, 7935, 3838, 2048, 2816, -15599, 8678
-513, 14848, -11520, 28928, 7935, 3838, 2816, 3072, -16111, 8934
-2817, 15360, -13312, 28928, 8447, 3326, 3840, 3072, -16879, 9190
-2817, 15360, -13312, 29696, 8447, 3326, 4608, 3328, -17391, 9446
-2817, 15360, -13312, 29696, 8703, 3838, 5376, 3328, -18159, 9702
-4353, 13056, -12544, 30208, 8703, 3838, 6400, 3328, -19183, 9958
-4353, 13056, -12544, 30208, 7679, 3582, 7168, 3584, -20463, 10214
-4353, 13056, -12544, 30720, 7679, 3582, 7424, 3840, -21487, 10470
-4865, 10752, -8960, 30720, 8703, 3838, 7936, 3840, -22511, 10726
-4865, 10752, -8960, 31744, 7423, 4094, 9216, 3840, -24815, 11238
-2817, 8192, -5888, 32000, 7423, 4094, 9728, 3840, -25839, 11494
-2817, 8192, -5888, 32000, 7935, 4350, 10240, 3584, -26607, 11750
-2817, 8192, -5888, -32256, 7935, 4350, 10496, 3584, -27375, 12006
1024, 9216, -3840, -32256, 7679, 4606, 10496, 3840, -27887, 12262
1024, 9216, -3840, -31744, 7679, 4606, 10496, 3840, -28143, 12518
1024, 9216, -3840, -31744, 6911, 4862, 10240, 3840, -28143, 12774
7424, 11008, -1024, -30720, 6911, 4862, 9472, 3840, -28143, 13030
7424, 11008, -1024, -29696, 7935, 4862, 8192, 3584, -27375, 13542
13824, 13056, 1281, -29696, 7167, 5630, 7168, 3328, -26863, 13798
13824, 13056, 1281, -29184, 7167, 5630, 6144, 2816, -26351, 14054
13824, 13056, 1281, -29184, 7423, 5374, 5120, 2560, -25839, 14310
17152, 12800, 3585, -28160, 7935, 5374, 2816, 1536, -25071, 14822
17152, 12800, 3585, -27392, 7935, 5374, 1792, 768, -24815, 15078
19456, 11776, 3841, -27392, 7423, 5886, 768, 512, -24559, 15334
19456, 11776, 3841, -26624, 8447, 5630, -13295, -12783, -24047, 15846
22016, 9472, 1793, -26368, 8447, 5630, -13807, -13039, -23535, 16102
22016, 9472, 1793, -26368, 8447, 6142, -14063, -13551, -23279, 16358
22016, 9472, 1793, -25856, 8447, 6142, -14319, -14063, -23023, 16614
24320, 7936, -1536, -25344, 8959, 5886, -14063, -14319, -22511, 17126
24320, 7936, -1536, -25344, 9727, 5630, -13807, -14575, -22511, 17382
26880, 6912, -4352, -24832, 9727, 5630, -13551, -14575, -21999, 17638
26880, 6912, -4352, -24832, 9727, 6142, -13039, -14575, -21743, 17894
26880, 6912, -4352, -24832, 9727, 6142, 0, -14575, -21487, 18150
29696, 7168, -5376, -24832, 10751, 5630, 768, -14319, -21231, 18406
29696, 7168, -5376, -24320, 10751, 5630, 1024, -14319, -20463, 18662
29696, 7168, -5376, -24320, 10495, 5630, 1792, -14575, -20463, 18918
30976, 6912, -5376, -24320, 10495, 5630, 2816, -14319, -20207, 19174
30976, 6912, -5376, -24320, 10495, 5630, 4096, -13295, -19439, 19686
-32000, 8192, -3072, -24320, 10751, 5374, 3584, -12783, -18927, 19942
-32000, 8192, -3072, -23808, 10751, 5374, 3584, 0, -18415, 20198
-32000, 8192, -3072, -23808, 10239, 6142, 3840, 0, -17903, 20454
-29440, 8704, 1025, -23552, 10239, 6142, 4096, 256, -17647, 20710
-29440, 8704, 1025, -23552, 10495, 6142, 4352, 0, -17135, 20966
-29440, 6400, 4097, -22784, 10239, 6142, 4864, 0, -16111, 21478
-29440, 6400, 4097, -23040, 10239, 6142, 5120, 256, -15855, 21734
-29440, 6400, 4097, -23040, 10239, 6654, 5632, 512, -15343, 21990
-28160, 4352, 5121, -22784, 10239, 6654, 5888, 512, -15343, 22246
-28160, 4352, 5121, -22272, 10239, 5886, 5888, 1024, -14831, 22758
-27904, 3840, 8193, -22272, 9471, 6910, 5888, 1280, -14575, 23014
-27904, 3840, 8193, -22528, 9471, 6910, 5888, 1280, -14319, 23270
-27904, 3840, 8193, -22528, 9727, 6398, 5376, 1280, -14063, 23526
-26880, 4608, 12545, -22016, 9727, 6398, 5120, 1280, -13551, 23782
-26880, 4608, 12545, -22016, 9215, 6654, 4096, 1024, -13039, 24294
-26368, 5888, 15873, -22016, 8447, 7166, 3328, 1024, 0, 24550
-26368, 5888, 15873, -21760, 9215, 7166, 1536, 1024, 1024, 25062
-26624, 6144, 17665, -22016, 9215, 7166, 768, 1024, 1536, 25318
-26624, 6144, 17665, -22016, 8191, 7422, -12783, 768, 1536, 25574
-26624, 6144, 17665, -21504, 8191, 7422, -14063, 768, 1792, 25830
-28416, 5888, 17409, -21504, 8447, 6910, -14831, 512, 1792, 26086
-28416, 5888, 17409, -21248, 8959, 6910, -16367, 0, 1536, 26598
-31488, 5888, 16897, -21504, 8959, 6910, -17135, -13295, 1536, 26854
-31488, 5888, 16897, -21504, 8191, 7166, -17903, -13551, 1536, 27110
-31488, 5888, 16897, -21504, 8191, 7166, -18159, -14063, 1280, 27366
31744, 6656, 15105, -21504, 9215, 6910, -18671, -14575, 1280, 27622
31744, 6656, 15105, -21760, 8959, 7166, -19183, -15343, 1024, 28134
30720, 6912, 13057, -22272, 8959, 7166, -19695, -15599, 768, 28390
30720, 6912, 13057, -22272, 9727, 6654, -19951, -15855, 768, 28646
30720, 6912, 13057, -22016, 9727, 6654, -19695, -16367, 768, 28902
29952, 6656, 9729, -22016, 9983, 6654, -19951, -16111, 768, 29158
29952, 6656, 9729, -22272, 9727, 6398, -20207, -16367, 768, 29670
29696, 6400, 7169, -22784, 9727, 6398, -19951, -16111, 768, 29926
29696, 6400, 7169, -22784, 11263, 6142, -20207, -16111, 1024, 30182
29696, 6400, 7169, -22784, 11263, 6142, -20207, -15855, 1280, 30438
29696, 6400, 7169, -22784, 10751, 6398, -20207, -15599, 1536, 30694
29696, 6400, 7169, -23296, 10751, 6398, -20207, -15343, 1792, 30950
29696, 6400, 7169, -23296, 11519, 6142, -19951, -15087, 2304, 31206
27904, 7168, 4353, -23552, 11519, 6142, -19951, -14831, 2560, 31462
27904, 7168, 4353, -23552, 11775, 5630, -19439, -14831, 3328, 31974
26112, 7424, 1793, -23552, 11263, 5886, -19183, -14575, 3584, 32230
26112, 7424, 1793, -23552, 11263, 5886, -19183, -14319, 3840, 32486
26112, 7424, 1793, -23552, 12287, 5374, -18671, -14319, 4096, 32742
23296, 7168, -256, -23808, 12287, 5374, -18415, -14319, 4096, -32538
23296, 7168, -256, -24320, 12031, 5374, -17647, -14575, 4352, -32026
19712, 8192, -1280, -24320, 11775, 5630, -17391, -14575, 4096, -31770
19712, 8192, -1280, -24576, 11775, 5630, -16879, -14831, 4352, -31514
19712, 8192, -1280, -24576, 12287, 5374, -16623, -14831, 4096, -31258
17152, 7936, -2048, -25088, 12287, 5374, -16111, -14831, 3840, -31002
17152, 7936, -2048, -25088, 11263, 5374, -15855, -14831, 3840, -30746
17152, 7936, -2048, -25344, 11263, 5374, -15343, -15087, 3584, -30490
15360, 9216, -1536, -25344, 12287, 5630, -14575, -15087, 3584, -30234
15360, 9216, -1536, -25600, 12287, 5630, -14575, -15087, 3072, -29978
13056, 9728, -1024, -26112, 11519, 5630, -13807, -15343, 2560, -29466
13056, 9728, -1024, -26112, 11519, 5374, -13807, -15343, 2560, -29210
13056, 9728, -1024, -26368, 11519, 5374, -13807, -15599, 2048, -28954
11008, 9728, 1025, -26368, 11519, 5118, -13807, -15855, 2048, -28698
11008, 9728, 1025, -26368, 11519, 5118, -14063, -16111, 1792, -28442
11008, 9728, 1025, -26368, 10495, 5374, -14319, -16623, 1536, -28186
10240, 9984, 3841, -27136, 10495, 5374, -15087, -16623, 1792, -27930
10240, 9984, 3841, -27136, 11263, 5118, -15343, -16879, 1792, -27674
10240, 9984, 3841, -27136, 11263, 5118, -15855, -17647, 1792, -27418
9472, 10496, 5377, -27648, 11007, 5374, -16879, -17903, 2304, -26906
9472, 10496, 5377, -27648, 10751, 4862, -17135, -18415, 2560, -26650
8704, 11264, 5633, -28416, 10751, 4862, -17135, -18671, 2304, -26394
8704, 11264, 5633, -28416, 11263, 4862, -17391, -18415, 2560, -26138
8704, 11264, 5633, -28928, 11263, 4862, -17391, -18927, 2560, -25882
8704, 10496, 2817, -28928, 10751, 5118, -17135, -18927, 2816, -25626
8704, 10496, 2817, -29440, 10751, 5118, -17135, -19183, 2560, -25370
8704, 10496, 2817, -29440, 11007, 4606, -17135, -18927, 2816, -25114
7424, 10496, 513, -29696, 11007, 4606, -17135, -18927, 2816, -24858
7424, 10496, 513, -29696, 11007, 4862, -16879, -18927, 2816, -24602
7424, 10496, 513, -30720, 11007, 4862, -16879, -18927, 3072, -24346
7424, 9984, 513, -30720, 10495, 4606, -16879, -18927, 3072, -24090
7424, 9984, 513, -30720, 10495, 4606, -17135, -18671, 3328, -23834
7424, 9984, 513, -30720, 11263, 4350, -17391, -18415, 3584, -23578
7168, 10752, 769, -31232, 11263, 4350, -17391, -18415, 3840, -23322
6912, 11008, -256, -32512, 11007, 4094, -17647, -17903, 4608, -22554
6912, 11008, -256, -32512, 11007, 4094, -17903, -17647, 5120, -22298
6912, 11008, -256, -32512, 11007, 4350, -17903, -17391, 5376, -22042
7424, 9728, -1024, 32000, 11007, 4350, -17903, -17391, 5632, -21786
7424, 9728, -1024, 32000, 10239, 4350, -18159, -17391, 6144, -21530
7424, 9728, -1024, 31744, 10239, 4350, -18159, -16879, 6144, -21274
6912, 8960, -1536, 31744, 11263, 3838, -18159, -16879, 6656, -21018
6912, 8960, -1536, 31232, 11263, 3838, -18159, -16879, 6912, -20762
6912, 8960, -1536, 31232, 10495, 4094, -18159, -16879, 7424, -20506
5888, 8960, -3584, 30464, 10495, 4094, -18159, -16879, 7680, -20250
5888, 8960, -3584, 30464, 11007, 4094, -18159, -16879, 7936, -19994
5888, 8960, -3584, 30208, 11007, 4094, -17903, -16623, 8448, -19738
5120, 8704, -4864, 30208, 11263, 3838, -17647, -16623, 8704, -19482
5120, 8704, -4864, 29440, 11263, 3838, -17647, -16367, 9216, -19226
5120, 8704, -4864, 29440, 10495, 4094, -17391, -16111, 9728, -18970
4864, 8704, -6912, 28672, 10495, 4094, -16879, -15855, 9984, -18714
4864, 8704, -6912, 28672, 11007, 3838, -16879, -15343, 10496, -18458
4864, 8704, -6912, 28160, 11007, 3838, -16623, -15087, 10752, -18202
4352, 8192, -7680, 28160, 10495, 4094, -16111, -14575, 11520, -17946
4352, 8192, -7680, 27392, 10495, 4094, -15855, -14063, 11776, -17690
4352, 8192, -7680, 27392, 10495, 3582, -15599, -13551, 12288, -17434
4096, 7680, -9472, 27136, 10495, 3582, -15343, -13295, 12800, -17178
4096, 7680, -9472, 27136, 11007, 3582, -14831, 0, 13312, -16922
4096, 7680, -9472, 26624, 11007, 3582, -14831, 256, 13568, -16666
3072, 7424, -11520, 26624, 9727, 4094, -14319, 768, 14080, -16410
3072, 7424, -11520, 26368, 9727, 4094, -14063, 768, 14336, -16154
3072, 7424, -11520, 26368, 10495, 3838, -13551, 1280, 14848, -15898
1536, 7424, -12544, 26112, 10495, 3838, -13295, 1280, 15360, -15642
1536, 7424, -12544, 26112, 9983, 4094, -13039, 1280, 15360, -15386
-2049, 6656, -13312, 25344, 9983, 4094, 0, 1024, 15872, -15130
-2049, 6656, -13312, 25344, 9727, 4094, 256, 768, 16128, -14874
-2049, 6656, -13312, 25088, 9727, 4094, 256, 512, 16128, -14618
-5121, 6144, -13568, 25088, 9471, 4350, 512, 256, 16384, -14362
-5121, 6144, -13568, 24832, 9471, 4350, 768, -12783, 16384, -14106
-5121, 6144, -13568, 24832, 8447, 4862, 768, -13295, 16640, -13850
-7937, 7168, -14336, 24064, 8447, 4862, 1024, -13551, 16384, -13594
-7937, 7168, -14336, 24064, 8703, 4350, 1024, -14063, 16128, -13338
-7937, 7168, -14336, 23808, 8703, 4350, 1024, -14319, 16128, -13082
-9985, 8448, -14592, 23808, 8191, 4862, 1024, -14575, 15872, -12826
-9985, 8448, -14592, 23296, 8191, 4862, 1280, -15087, 15872, -12570
-9985, 8448, -14592, 23296, 7679, 5118, 1280, -15087, 15616, -12314
-11009, 8448, -14592, 22528, 8447, 4862, 1024, -15599, 15360, -11802
-11009, 8448, -14592, 21760, 8447, 4862, 1024, -15855, 15360, -11546
-12545, 7680, -13824, 21760, 6399, 5118, 1024, -16111, 15360, -11290
-12545, 7680, -13824, 21248, 6399, 5118, 1024, -16367, 15360, -11034
-12545, 7680, -13824, 21248, 7167, 5118, 1024, -16623, 15360, -10778
-14593, 7168, -13568, 20736, 7167, 5118, 1024, -17135, 15360, -10522
-14593, 7168, -13568, 20736, 6911, 5118, 768, -17135, 15616, -10266
-14593, 7168, -13568, 19968, 6911, 5118, 1024, -17647, 15616, -10010
-16385, 7168, -14592, 19968, 6143, 5374, 1280, -17903, 15616, -9754
-16385, 7168, -14592, 19200, 6143, 5374, 1280, -18159, 15616, -9498
-16385, 7168, -14592, 19200, 6399, 5374, 1792, -18671, 15616, -9242
-21505, 7168, -14080, 18944, 6399, 5374, 2048, -18927, 15360, -8986
-21505, 7168, -14080, 18944, 5375, 5630, 2560, -19439, 14848, -8730
-21505, 7168, -14080, 17408, 5375, 5630, 2816, -19695, 14336, -8474
-26113, 6912, -12800, 17408, 5631, 5374, 3072, -19951, 13568, -8218
-26113, 6912, -12800, 16640, 5631, 5374, 3584, -20463, 12544, -7962
-26113, 6912, -12800, 16640, 5631, 5374, 3584, -20719, 11776, -7706
-30465, 7168, -12544, 16128, 5631, 5374, 4096, -21487, 10752, -7450
-30465, 7168, -12544, 16128, 4351, 5886, 4096, -21743, 9472, -7194
-30465, 7168, -12544, 15360, 4351, 5886, 4352, -22511, 8448, -6938
-32001, 6144, -11264, 15360, 4607, 5886, 4608, -23279, 7424, -6682
-32001, 6144, -11264, 14848, 4607, 5886, 4352, -24047, 6400, -6426
-32001, 6144, -11264, 14848, 3839, 6142, 4608, -24815, 5632, -6170
-30977, 5888, -7936, 14080, 3839, 6142, 4608, -25327, 4864, -5914
-30977, 5888, -7936, 14080, 3839, 6142, 4352, -25839, 4096, -5658
-30977, 5888, -7936, 13056, 3839, 6142, 4352, -26351, 3840, -5402
-27905, 5376, -4608, 13056, 3839, 6142, 4352, -26607, 3584, -5146
-27905, 5376, -4608, 12032, 3839, 6142, 4352, -26607, 3584, -4890
-27905, 5376, -4608, 12032, 2559, 6142, 4352, -26863, 3840, -4634
-26625, 4864, -1536, 11264, 2559, 6142, 4352, -26863, 4096, -4378
-26625, 4864, -1536, 11264, 3327, 6142, 4352, -26607, 4352, -4122
-26625, 4864, -1536, 10496, 3327, 6142, 4864, -26351, 4608, -3866
-26881, 3584, 769, 10496, 2559, 6654, 4864, -25839, 4864, -3610
-26881, 3584, 769, 9472, 2559, 6654, 4864, -24815, 5376, -3354
-26881, 3584, 769, 9472, 2303, 6654, 4864, -23535, 5376, -3098
-28673, 2816, 3329, 8448, 2303, 6654, 5120, -21999, 5376, -2842
-28673, 2816, 3329, 8192, 2303, 6654, 5120, -18671, 5632, -2330
-30977, 2816, 4865, 8192, 1279, 6910, 5120, -17135, 5376, -2074
-30977, 2816, 4865, 6912, 1279, 6910, 5376, -15599, 5376, -1818
-30977, 2816, 4865, 6912, 1535, 6654, 5632, -14063, 5376, -1562
-32513, 2816, 8705, 7168, 1535, 6654, 5632, 0, 5120, -1306
-32513, 2816, 8705, 6656, 511, 7422, 5888, 2304, 4864, -794
31743, 1536, 10497, 6656, 511, 7422, 5888, 3328, 4608, -538
31743, 1536, 10497, 6656, 511, 7422, 6144, 3840, 4352, -282
31743, 1536, 10497, 6656, 511, 7678, 5888, 4608, 4096, -26
30207, 512, 13569, 6912, 511, 7678, 5888, 4608, 3584, 231
30207, 512, 13569, 6912, -770, 8190, 5888, 5120, 3072, 487
30207, 512, 13569, 7168, -770, 8190, 5632, 5120, 2560, 743
30207, 0, 16385, 7168, -514, 7934, 5376, 4608, 2048, 999
30207, 0, 16385, 7424, -514, 7934, 4864, 4352, 1536, 1255
30207, 0, 16385, 7424, -1282, 8446, 4352, 3840, 1024, 1511
30719, -1, 19969, 7424, -1282, 8446, 3840, 3328, 768, 1767
30719, -1, 19969, 7424, -1794, 8446, 3328, 2816, 0, 2023
30719, -1, 19969, 7936, -1794, 8446, 2304, 2304, -12783, 2279
-32001, -769, 22273, 7936, -1026, 8190, 1536, 1792, -13295, 2535
-32001, -769, 22273, 7936, -2306, 8702, 0, 1024, -13807, 3047
-29185, 0, 22529, 7936, -2306, 8702, -13551, 256, -14319, 3303
-29185, 0, 22529, 7936, -1538, 8446, -14319, 0, -14319, 3559
-29185, 0, 22529, 8448, -1538, 8446, -15087, -13039, -14575, 3815
-26625, 0, 24321, 8448, -1794, 8702, -15855, -13295, -15087, 4071
-26625, 0, 24321, 8448, -1794, 8702, -16623, -13295, -15087, 4327
-26625, 0, 24321, 8448, -1794, 8446, -17391, -13295, -15343, 4583
-23297, -1, 22785, 8192, -1794, 8446, -17903, -13295, -15599, 4839
-23297, -1, 22785, 8192, -770, 8190, -18415, -13039, -15599, 5095
-23297, -1, 22785, 8448, -770, 8190, -18927, 0, -15855, 5351
-20225, -257, 22017, 8448, -1282, 8446, -19183, 512, -16111, 5607
-20225, -257, 22017, 8192, -1282, 8446, -19439, 1024, -16367, 5863
-17665, -1, 19969, 8960, -258, 7934, -19695, 2560, -16623, 6375
-17665, -1, 19969, 8960, -2, 7678, -19951, 3328, -16879, 6631
-17665, -1, 19969, 8960, -2, 7678, -20207, 4096, -16879, 6887
-16129, 512, 17921, 9216, 255, 7678, -20207, 5632, -17135, 7399
-16129, 512, 17921, 9216, 1023, 7422, -19951, 6144, -17135, 7655
-14081, 768, 14337, 9984, 1023, 7422, -20207, 6912, -17391, 7911
-14081, 768, 14337, 9984, 767, 7166, -19695, 7680, -17391, 8167
-14081, 768, 14337, 10240, 767, 7166, -19951, 7936, -17647, 8423
-12289, 1792, 12545, 10240, 1535, 6910, -19695, 8448, -17903, 8679
-12289, 1792, 12545, 11264, 1535, 6910, -19695, 8960, -17903, 8935
-12289, 1792, 12545, 11264, 2047, 6654, -19695, 9216, -18159, 9191
-10241, 3328, 9985, 11776, 2047, 6654, -19439, 9472, -18415, 9447
-10241, 3328, 9985, 12032, 1535, 7166, -19183, 9472, -18671, 9959
-7681, 4352, 7681, 12032, 2815, 6654, -18671, 9728, -19183, 10215
-7681, 4352, 7681, 13312, 2815, 6654, -18671, 9728, -19439, 10471
-7681, 4352, 7681, 13312, 2815, 6654, -18671, 9728, -19439, 10727
-4865, 5632, 5377, 13824, 2815, 6654, -18415, 9728, -19951, 10983
-4865, 5632, 5377, 14848, 3327, 6398, -18415, 9216, -20207, 11495
-2305, 6144, 4353, 14848, 3839, 6142, -18159, 8960, -19951, 11751
-2305, 6144, 4353, 15360, 3839, 6142, -18159, 8704, -20207, 12007
-2305, 6144, 4353, 15360, 3327, 6142, -18159, 8192, -20207, 12263
0, 5376, 2049, 16128, 3327, 6142, -18159, 7680, -20207, 12519
0, 5376, 2049, 16128, 4607, 6142, -18159, 7424, -19951, 12775
3328, 5632, 1025, 17152, 4607, 6142, -18415, 6912, -19439, 13287
3328, 5632, 1025, 17920, 4607, 6142, -18415, 6400, -19183, 13543
3328, 5632, 1025, 17920, 4863, 5886, -18415, 5888, -18927, 13799
5632, 6912, -2304, 18432, 5887, 5886, -18159, 5120, -18159, 14311
5632, 6912, -2304, 19200, 5887, 5886, -18159, 4352, -17903, 14567
7936, 7168, -3584, 19200, 5119, 5630, -18159, 3840, -17391, 14823
7936, 7168, -3584, 19712, 5119, 5630, -17903, 3328, -17135, 15079
9984, 8448, -8704, 19968, 6143, 5118, -17391, 2304, -16367, 15591
9984, 8448, -8704, 20480, 6399, 5886, -16623, 1280, -15599, 16103
12032, 9728, -12288, 20480, 6143, 5374, -16367, 768, -15343, 16359
12032, 9728, -12288, 20480, 7423, 5374, -15343, 0, -14575, 16871
13056, 10496, -14592, 20992, 7423, 5374, -14575, -12783, -14319, 17127
